comment,label,df,cleaned
පල හු####ති,1,B,පල හු ති
පල හුතිගෙ පුත උම්බල කියන විඩියට නට පලකයො දන් මෙහේ න හුත්තො u n p අන්ඩුවක් අවම කියපන් තොපිට පුකඩෙන උන්ට,1,B,පල හුති පුත උම්බල කියන විඩි නට පලකයො දන් මෙහේ න හුත්ත අන්ඩු අවම කිය තොපිට පුකඩෙ උන්ට
පල හුත්........මිනිමස ලකාපු කටපත්තත ඇරන් බොරැ වචාල කියවන්නෙ නැතුව,1,B,පල හුත් මිනිමස ලකාපු කටපත්තත ඇරන් බොරැ වචාල කියව නැතුව
පල හුත්ති,1,B,පල හුත්
පල හුත්ති තොගේ අප්පට කෙලින්න තො ් පුක දිපන් පර බැල්ලි තොට හුකලා මරන්න ඔන,1,B,පල හුත් තොගෙ අප්පට කෙලි තො ් පුක දිපන් පර බැල්ලි තොට හුකලා මරන්න ඔන
පල හුත්ති තොපි කොමත් ලන්කවට ගන්ට දේන්න්‍ර්ර් නැ,1,B,පල හුත් තොපි කොමත් ලන්ක ගන්ට දේන්න්‍ර්ර නැ
පල හුත්ති පුක නොදී,1,B,පල හුත් පුක නොදී
පල හුත්ති යන්න තොවගේ ගැහැණු අපේ ලංකාවට ගන්නේ නැහැ තො බල්ලෝන්ට කියලා හුකව ගත්තට දහදුරා වෙිසියේ බල්ලෙක් හුකලා හැදිච්ච දහදුරා පදුරැ බැල්ලි අපේ නියෝජ්‍ය පොලිස්පති තුමා කරන්න තමන්ගේ රට වෙනුවෙන් තො මොන වෙිසියේ ක්ද තොගේ කටට හෙනගහන බැල්ලි තොව හරහට තියලා කටට රෙන්න ඔිනි,1,B,පල හුත් යන්න තොවගේ ගැහැණ අපේ ලංකා ගන්නේ නැහැ තො බල්ලෝ කියලා හුකව ගත්තට දහදුර වෙිසි බල්ල හුකලා හැද දහදුර පදුරැ බැල්ලි අපේ නියෝජ්‍ පොලිස්ප තුමා කරන්න තම රට වෙනු තො මොන වෙිසි ක්ද තොගේ කටට හෙනගහ බැල්ලි තොව හරහට තියලා කටට රෙන්න ඔිනි
පල හුත්ති යන්න......,1,B,පල හුත් යන්න
පල හුත්ති යෙ තොට හැදිලා මැරිය,1,B,පල හුත් යෙ තොට හැද මැරිය
පල හුත්ති.එතුමා කිවදෙවල් තොපිවගෙ වෙසියන්ට තෙරෙන්නැ,1,B,පල හුත් එතුමා කිවදෙ තොපි වෙසි තෙරෙන්නැ
පල හුත්තියේ යන්න,1,B,පල හුත්තියෙ යන්න
පල හුත්තියේ යන්න ඔච්චර දියුණුනම් මිනිස්සු මැරෙන්නේ කොහොමද යකෝ අපේ රට අපිට වටිනවා. අපේ රටේ තව වෙනතුරු එක මනුස්සයෙක් මැරුනේ නැ තොපි වගේ උන් හැදුවට වඩා හොදයි සරමේ පිහිදා ගත්තනම්.,1,B,පල හුත්ති යන්න ඔච්චර දියුණුන මිනිස්ස මැරෙ කොහොම යකෝ අපේ රට අපිට වටි අපේ රටේ තව වෙනතුර එක මනුස්ස මැරුන නැ තොපි වගේ උන් හැදු වඩා හොදයි සරමේ පිහිද ගත්තන
පල හුත්තෝ යන්න ඔහේ හිටපිය ලංකාවට එන්න එපා දි මැරිය ලංකාවට ආවොත් ඉවරයි,1,B,පල හුත්ත යන්න ඔහේ හිට ලංකා එන්න එපා දි මැරිය ලංකා ආවොත් ඉවරයි
පල හුනී මම,1,B,පල හුනී මම
පල.හු යන්න,1,B,පල හු යන්න
පල.හුත්ති යන්න,1,B,පල හුත් යන්න
පල.හුත්ති..යන්න.අම්මට.හුකාගන්නැතිව,1,B,පල හුත් යන්න අම්මට හුකාගන්නැති
පලබූරුවො වියාපාර කරන්නත් මිනුස්සු ජීවත්වෙන්න එපැයි,1,B,පලබූරුව වියාපාර කරන්න මිනුස්ස ජීවත්වෙ එපැයි
පලයං කැරි හුත්තියේ,1,B,පලයං කැරි හුත්ති
පලයං පලයං යන්න කාලකණ්ණි බල්ලි...,1,B,පලයං පලයං යන්න කාලකණ්ණි බල්ලි
පලයං පාකයා යන්න,1,B,පලයං පාකයා යන්න
පලයං බං යන්න.අපි වතුර බීල හරි ඉන්නම් ඉස්සෙල්ලා කොරෝනා වෙන් බේරෙන්න ඕන.අපි දැක්කා පස්කු ප්‍රහාරයේදී මිනිසුන් ගේ දුක දිහා බලපු විදිය.මිනිසුන් ගේ බුද්දියට ගරහන්න එපා.,1,B,පලයං බං යන්න අපි වතුර බීල හරි ඉන්න ඉස්සෙ කොරෝ වෙන් බේරෙ ඕන අපි දැක් පස්කු ප්‍රහාර මිනිස ගේ දුක දිහා බලපු විදිය මිනිස ගේ බුද්දි ගරහ එපා
පලයං බැල්ලි ,1,B,පලයං බැල්ලි
"පලයං යන්න , මෝඩ පකයා",1,B,පලයං යන්න මෝඩ පකයා
පලයං හු.....ත්,1,B,පලයං හු ත්
පලයන පට්ට හුත්ති අම්මට නොහුකා.,1,B,පලයන පට්ට හුත් අම්මට නොහු
පලයන් කාලකන්නියා යන්න. උබලා ආණ්ඩුවේ ඉද්දි කරපු කියපු දේවල් රටේ මිනිස්සු දන්නවා ,1,B,පලයන් කාලකන්නි යන්න උබලා ආණ්ඩ ඉද්දි කරපු කියපු දේවල් රටේ මිනිස්ස දන්
පලයන් කෙප්ප වැස්සි,1,B,පලයන් කෙප්ප වැස්සි
පලයන් ගැනියේ යන්න . ඉපදුනු රටට ගරහන් කාල කන්නි ගැනු න් හොදට හම්බ වෙනවා ඇති,1,B,පලයන් ගැනි යන්න ඉපදු රටට ගරහන් කාල කන්නි ගැනු න් හොදට හම්බ වෙනවා ඇති
පලයන් ගොනා යන්න මෙික පිටකොටුවේ බැහැපු බඩුවක් බාන්,1,B,පලයන් ගොනා යන්න මෙික පිටකොට බැහැ බඩු බාන්
පලයන් ගොන් හුත්ති,1,B,පලයන් ගොන් හුත්
පලයන් බං යන්න,1,B,පලයන් බං යන්න
"පලයන් බං යන්න උබල වගේ උන් දෙශපාලනය ට ගන්න නරකයි ,මිනිස්සු බඩගින්නෙ නම් උදව් කරන්න ,මේක මේ ලංකාවේ විතර ක් ගත්ත තිරන යක් නෙවෙයි ,මුන්ට ඔනි පාස්කු දවසෙ වගේ මිනිස්සු මරන්න",1,B,පලයන් බං යන්න උබල වගේ උන් දෙශපාලන ට ගන්න නරකයි මිනිස්ස බඩගි නම් උදව් කරන්න මේක මේ ලංක විතර ක් ගත්ත තිරන යක් නෙවෙ මුන්ට ඔනි පාස් දවසෙ වගේ මිනිස්ස මරන්න
පලයන් බැල්ලි,1,B,පලයන් බැල්ලි
"පලයන් බූරුවො යන්න තොපි ආන්ඩුව කරපු දේවල් අපිට මතකයි. ක්‍රෝටන් කොල,කොස්කොල කපිය",1,B,පලයන් බූරුව යන්න තොපි ආන්ඩ කරපු දේවල් අපිට මතකයි ක්‍රෝට කොල කොස්කො කපිය
පලයන් යන්න හුත්ති අම්මාට හුකන්නෙ නෙතිව ,1,B,පලයන් යන්න හුත් අම්ම හුක නෙතිව
පලයන් වේසි යන්න... පේනවා තොගේ රටට වෙලා තියෙන දේ,1,B,පලයන් වේසි යන්න පේනවා තොගේ රටට වෙලා තියෙන දේ
පලයන් වේසියේ යන්න,1,B,පලයන් වේසි යන්න
පලයන් වේසී උඔ කොහොමද අපේ රටට බනින්නේ. ම මැරියන් තොපි ,1,B,පලයන් වේසී උඔ කොහොම අපේ රටට බනි ම මැර තොපි
පලයන් සක්කිලි බල්ලො යන්න තෝ රුපියලක්වත් බුන්නඩ උන්ට,1,B,පලයන් සක්ක බල්ලො යන්න තෝ රුපියලක් බුන්නඩ උන්ට
"පලයන් හු---- පවු නොදී, ලoකාවෙ කෙරෙන දේ අගය දැනෙන්න රටෙන් පිටවෙලා බලපන්, තොපි බලයෙ හිටියනම් මෙලහකට ආර්තිකෙත් බිම බාගයක් කොරෝනා කාරයෝ, අදින්නන් වාලෙ .කකුලෙන් අදින්නෙ දේශපාලන වාසිගන්න කියල මිනිස්සු දන්නවා, නොකා නොබී ටිකක් ඉදලහරි මිනිස්සු ටික බේරගන්න එකයි වටින්නෙ",1,B,පලයන් හු පවු නොදී ලකාවෙ කෙරෙන දේ අගය දැනෙ රටෙන් පිටවෙ බලපන් තොපි බලයෙ හිටියන මෙලහ ආර්තිකෙ බිම බාග කොරෝ කාරයෝ අදින්න වාලෙ කකුල අදි දේශපාල වාසිග කියල මිනිස්ස දන් නොකා නොබී ටිකක් ඉදලහරි මිනිස්ස ටික බේරග එකයි වටි
පලයන් හු.....යෙ යන්න..අපිත් ඉන්නෙ රට තමයි.,1,B,පලයන් හු යෙ යන්න අපිත් ඉන්නෙ රට තමයි
පලයන් හුත්ති යන්න,1,B,පලයන් හුත් යන්න
පලයන් හුත්ති යන්න... ඔහෙම මැරිලා ඔහෙම වැලලිය කාලකන්නි හැතිකරේ... අපේ රටත් කන්න එනෝ මෙතන...,1,B,පලයන් හුත් යන්න ඔහෙම මැර ඔහෙම වැලල කාලකන් හැතිකර අපේ රටත් කන්න එනෝ මෙතන
පලයන් හුත්ති යන්න.බැල්ලි තෝ යකෝ තමන් ඉපදුණු රටටනේ ඔහොම කියන්නේ.අප්පට හුකාගනින් තෝ ඉදගෙන.,1,B,පලයන් හුත් යන්න බැල්ලි තෝ යකෝ තමන් ඉපද රටටනේ ඔහොම කිය අප්පට හුකාගන තෝ ඉදගෙන
පලයන් හුත්තියෙ යන්න තො පුකදිපිය සුද්දන්ට බලුහුත්තියෙ,1,B,පලයන් හුත්ති යන්න තො පුකදි සුද්ද බලුහුත්ති
පලයන් හුත්තියේ යන්න ...තොට කොහොමත් ලන්කාවට එන්න තියන්නෙ නැ ගොන් බැල්ලී.,1,B,පලයන් හුත්ති යන්න තොට කොහොම ලන්කා එන්න තිය නැ ගොන් බැල්ල
පලවේසි යන්න,1,B,පලවේසි යන්න
පලහුත්ති,1,B,පලහුත්
පලහුත්ති දැන් පුක දිපන්,1,B,පලහුත් දැන් පුක දිපන්
පලා හුත්තියේ යන්න ,1,B,පලා හුත්ති යන්න
පලෙයන් පදුරු වේසී,1,B,පලෙ පදුරු වේසී
පල් කැරි වෙසි යන්න,1,B,පල් කැරි වෙසි යන්න
පවි මෙයාට මී උණ. පලල අරන් තියෙන්නේ.,1,B,පවි මෙයාට මී උණ පලල අරන් තියෙ
පවුල් පස්න ඇති කරනව නෙමේ.. තාත්තයි පුතයි කියල ,0,B,පවුල් පස්න ඇති කරනව නෙමේ තාත්ත පුතයි කියල
පවුල් පාලනේ මුන්ගේ,0,B,පවුල් පාලනේ ම
පව් අසරනයා අනිවාර්යයෙන් අනාගතය ගැන අහන්න දෙයක් නැ.ලංකාවට එන්න එපා ...ප්ලිස්...මෙ වගෙ අයට අනුකම්පා කරන්න නියොජ්‍ය පොලිස්පති අජිත් රොහන තුමනි ඔබගෙ සෙවය අපි නිතරම දකිමි ඔබ තුමාට සම්මා සම්බුදු සරනයි .මෙ සත්තු කියන එවා හිතන්නවත් එපා අපි දන්නවා ඔබ තුමාගෙ කැපවීම ...,0,B,පව් අසරන අනිවාර්ය අනාගත ගැන අහන්න දෙයක් නැ ලංකා එන්න එපා ප්ලිස මෙ වගෙ අයට අනුකම්ප කරන්න නියොජ්‍ පොලිස්ප අජිත් රොහන තුමනි ඔබගෙ සෙවය අපි නිතරම දකිමි ඔබ තුමාට සම්මා සම්බුද සරනයි මෙ සත්තු කියන එවා හිතන්න එපා අපි දන් ඔබ තුමා කැපව
පව් ඉතින් ඔච්චර කියවන්නෙ නිකං ගිහින් විදායක් ශ්‍රේනියේ රැකියවක් කරනවා වගේ.රස්සාවක් බල්දු කරනවා නෙවෙයි. ඒහේ ගිහින් නාකි ගෑනුන්ගේ පුකවල් හෝදලා පොරටෝක් දෙනවා මෙතන.. A' class job kranawa wage නිකං ගොං පාට් දාන්න එපා හුත්තියේ අපි නොදන්නවා නෙවෙයි ..,1,B,පව් ඉතින් ඔච්චර කියව නිකං ගිහ විදා ශ්‍රේනි රැකිය කරනවා වගේ රස්සා බල්දු කරනවා නෙවෙ ඒහේ ගිහ නාකි ගෑන පුක හෝදලා පොරටෝ දෙනවා මෙතන නිකං ගොං පාට් දාන්න එපා හුත්ති අපි නොදන් නෙවෙ
පව් ඉතින් චරිතෙ ඉවරයි ,0,B,පව් ඉතින් චරිතෙ ඉවරයි
පව් ඉතින් මර බියෙන් කියවනවා. එන්න බැරි වුණ නිසා. එයාගේ පවුල ලංකාවට එන්නේ නෑ කියලා කාටවත් ප්‍රශ්නයක් නෑනේ,0,B,පව් ඉතින් මර බි කියව එන්න බැරි වුණ නිසා එයාගේ පවුල ලංකා එන්නේ නෑ කියලා කාට ප්‍රශ්න නෑනේ
පව් ඔයා පව් නිකන් පුප නොදී ඉන්ඩ ඇන්ටි ලයිව් ඇවිත් මලමිනි අපිට මොකටද ,1,B,පව් ඔයා පව් නිකන් පුප නොදී ඉන්ඩ ඇන්ටි ලයිව් ඇවිත් මලමි අපිට මොකටද
පව් කාලකන්නි . ඉස්ලාම් වගේ ආගම ක් අදහන උන්ගෙන් මීට වඩා වැඩි යමක් බලාපොරොත්තු වෙන්නෙ කොහොමද බන් .. මූව යවන්න ඔනේ අමරිකාවේ නාසා එකට,1,B,පව් කාලකන් ඉස්ලා වගේ ආගම ක් අදහන උ මීට වඩා වැඩි යමක් බලාපොරොත්ත වෙ කොහොම බන් මූව යවන්න ඔනේ අමරික නාසා එකට
පව් නේද මෙයා මට හිතෙන විදිහට වැඩි කල් නෑ. ඉටිපන්දමක් නිවෙන්න අන්තිම මොහොතේ ගොඩක් එලිය වැටිලා නිවිල යනවනෙ. පව්......,1,B,පව් නේද මෙයා මට හිතෙන විදිහ වැඩි කල් නෑ ඉටිපන්ද නිවෙ අන්ති මොහොත ගොඩක් එලිය වැට නිවිල යනවනෙ පව්
පව් බන් උබ,0,B,පව් බන් උබ
පව් මෙකෙගේ මිනිහා .ගෙදර කොහොම ජිවත් වෙනවද දන්න නෑ.කට යක්ෂනියෙක්ගේ වගේ .,1,B,පව් මෙකෙ මිනිහ ගෙදර කොහොම ජිවත් වෙනවද දන්න නෑ කට යක්ෂනියෙක් වගේ
පව් මේ මෝඩ ගෑනි.මැරෙන්ඩ බයේ කෑගහනවා ,1,B,පව් මේ මෝඩ ගෑනි මැරෙන්ඩ බයේ කෑගහ
පව් මේකිගෙ පව මේ වෙන මුකුත් නෙවෙයි පව.මේ වගේ මානසික ලෙඩ්ඩුන්ට බැනල වැඩක් තව ටික දවසකින් ඕකිටම හිතෙයි ලංකාවෙ හිටිය නම් ජීවිතේ බේර ගන්න පුලුවන් කියල.,1,B,පව් මේ පව මේ වෙන මුකු නෙවෙ පව මේ වගේ මානසික ලෙඩ්ඩ බැනල වැඩක් තව ටික දවස ඕකිටම හිතෙ ලංකා හිටිය නම් ජීවිත බේර ගන්න පුලු කියල
පව් යකො මෙ වෙසි වදාපු අම්මා ....,1,B,පව් යකො මෙ වෙසි වදාපු අම්මා
පව් යකෝ තොපේ දෙමව්පියෝ,1,B,පව් යකෝ තොපේ දෙමව්පි
පව්කාරයෝ ඉන්නේ . ඒකයි ඔය තරම් මරන.රීලග මරනේ උබේ,1,B,පව්කාර ඉන්නේ ඒකයි ඔය තරම් මරන රීලග මරනේ උබේ
පව්ඩර් කේස් එක... ඒකනම් පට්ට ම....,0,B,පව්ඩර කේස් එක ඒකනම් පට්ට ම
පව්ලෙ උදවිය කමෙන්ට් නොබලත්වා ,0,B,පව්ලෙ උදවිය කමෙන්ට නොබල
පසෙන් විසබීජ නැතිවෙනවම් පස් අරන් උබලා කාලා කොරෝනා හොද කරගනින්කෝ... එතකොට පුච්චන්නේ නැ.. ,1,B,පසෙන් විසබීජ නැතිවෙනව පස් අරන් උබලා කාලා කොරෝ හොද කරගනින්ක එතකොට පුච්ච නැ
පස් කමු........,0,B,පස් කමු
පස් කවපිය එහෙනම් ලෙඩේ හැදුන තොපේ උන්ට වයිරසය නැතිවෙලා යන්න..තව හුජ්ජ දාලා උලමා....නෙදකින් තෝ වල් ඌරා....,1,B,පස් කවපිය එහෙන ලෙඩේ හැදුන තොපේ උන්ට වයිරස නැතිවෙ යන්න තව හුජ්ජ දාලා උලමා නෙද තෝ වල් ඌරා
පස් කියන්නේ විශබීජ නාශකයක්... ,0,B,පස් කිය විශබීජ නාශක
පස් ගැන දන්නේ නෑත්තේ මොකෝ අබ්දුල් රාසික්.ඔලුවෙත් තියෙන්නේ ඒවානේ.,1,B,පස් ගැන දන්නේ නෑත්ත මොකෝ අබ්දුල රාසි ඔලුවෙ තියෙ ඒවානේ
පස් ඩෙනා හඩන්න 150 පුකෙ අරින්න අති නෙඩ,1,B,පස් ඩෙනා හඩන්න පුකෙ අරි අති නෙඩ
පස් තම්බල සුප් එකක් හදන් බීපන් උබ,1,B,පස් තම්බල සුප් එකක් හදන් බීපන් උබ
පස් පිලිබද f r o g පකාචාර්ය්‍ය අමිමපා මු ලග පාතක හිටියනං ඇදිරිනිතිය කැඩුවා කියලා නෙමෙයි අපිව lockup කරන්නෙ .,1,B,පස් පිලිබ පකාචාර්ය්‍ අමිමප මු ලග පාතක හිටියනං ඇදිරිනිත කැඩ කියලා නෙමෙ අපිව කර
පස් වලට දත් තියෙනවා කියලා දැනගත්තෙ මේ මිනිහා කියද්දී ,0,B,පස් වලට දත් තියෙ කියලා දැනගත්ත මේ මිනිහ කිය
පස් වලින් නෂ්‍ය කරනවා කියන්නෙ ..නොතෙරේ මට ..ගැඩවිලානනි (පනු මහාචාර්ය අබ්දුල් රාසික් ) තේරුම් කර දෙනු මැනවි ..,1,B,පස් වලින් නෂ්‍ය කරනවා කිය නොතෙර මට ගැඩවිලාන පනු මහාචාර් අබ්දුල රාසි තේර කර දෙනු මැනවි
පස් විසින් ශරීරය කාදමනවා...මොකක්ද බන් මේ කියන්නේ,0,B,පස් විස ශරීරය කාදම මොකක් බන් මේ කිය
පස්වල තිබෙන වීශබීජ නසන විශේෂ ගතිලක්ශනය යොදාගෙන අපි කොරෝනා පරදවමු. අසාදීතයන් සියල්ල වලලමූ,0,B,පස්වල තිබෙන වීශබීජ නසන විශේෂ ගතිලක්ශන යොදාගෙ අපි කොරෝ පරදව අසාදීත සියල් වලලමූ
පස්වල විසබීජ නස්‍ය කරන ගතිලක්සනයක් තියනව කියල දැනගද්දි ඔයාගෙ වයස කීයද?,0,B,පස්වල විසබීජ නස්‍ය කරන ගතිලක්සන තියනව කියල දැනගද්දි ඔයාගෙ වයස කීයද
පහනකින් විහිදෙන එලියක් වගේ ඇය..සුන්දරයි. ඔබ තුමන්ලා ට දීර්ඝායූ වේවා !!!,0,B,පහන විහිදෙ එලි වගේ ඇය සුන්දර ඔබ තුමන් ට දීර්ඝාය වේවා
පහාර බැල්ලි තෝ ම වලදාපං.,1,B,පහාර බැල්ලි තෝ ම වලදාපං
"පළ කාලකණ්ණියා යන්න, 1918 flu වසංගතය නිසා භූමදානය කළ than වල තම අවුරුදු 100 ගත වෙලත් එම වෛරස තම තිබෙන බව සොයා ගෙන තිබෙ",1,B,පළ කාලකණ්ණි යන්න වසංගත නිසා භූමදාන කළ වල තම අවුරුද ගත වෙලත් එම වෛරස තම තිබෙන බව සොයා ගෙන තිබෙ
"පළමුවත්,දෙවනුවත්තෙවනුවත් !!!අපෙයි අප හැම දෙන, ඔබ හැර.",1,B,පළම දෙවනුවත්තෙවන අපෙයි අප හැම දෙන ඔබ හැර
පළවෙනි නීතිය තමා තමංගෙ ඩුප්ලිකේට් එකව දකින්න බෑ.. ඔයා නීතිය කැඩුවා. දැං ඉතිං මුලු මන්දාකිණියටම විදවන්න වෙයි ,0,B,පළවෙ නීතිය තමා තමංගෙ ඩුප්ලිකේට එකව දකි බෑ ඔයා නීතිය කැඩ දැං ඉතිං මුලු මන්දාකිණිය විදව වෙයි
පාඩම් කරපියව් ගැන හොයන්නේ නැතුව,0,B,පාඩම් කර ගැන හොය නැතුව
පාඩුවේ ඉද්දි ආයේ අවුස්සනව... Anyway වැඩේ එල ,0,B,පාඩ ඉද්දි ආයේ අවුස්සන වැඩේ එල
පාදෙනිය මහත්මයා සිංහල වෙදකමට යොමු වීම හොද බව පවසා තිබෙනවා. දුම් ඇල්ලීම. කොත්තමල්ලි බීම. වෙනිවැල් ගැට. ආදි දේ නමුත් තවත් දොස්‌තර මහතකු ඔහුගේ එ දේ විවෙචනය කර තිබෙනවා ඔහුට එසේ පැවසීමට නොහැකි බව. එ සදහා ක්‍රියාමාර්ගයක් ගන්න.සිංහල වෙදකම තමා හොදම.,0,B,පාදෙ මහත්ම සිංහල වෙදක යොමු වීම හොද බව පවසා තිබෙ දුම් ඇල්ල කොත්තමල්ලි බීම වෙනිවැල ගැට ආදි දේ නමුත් තවත් දොස්තර මහතකු ඔහුගේ එ දේ විවෙචන කර තිබෙ ඔහුට එසේ පැවස නොහැ බව එ සදහා ක්‍රියාමාර්ග ගන්න සිංහල වෙදකම තමා හොදම
පාර ලකා පාර ඒක වාසී අර බිල්ඩ්ම ම ගත්තනම් ඊට වඩා වාසී,0,B,පාර ලකා පාර ඒක වාසී අර බිල්ඩ් ම ගත්තන ඊට වඩා වාසී
පාරවෙිසි හොදට අැනගනිමි සුද්දට දිලා එකේ රසටද ගැමිම පාරවෙිසි,1,B,පාරවෙිසි හොදට අැනගනි සුද්ද දිලා එකේ රසටද ගැමිම පාරවෙිසි
පාලනය කරන්න අමරුනම් ඇයි උට්ටියෙ උබට අමාරුවද,1,B,පාලනය කරන්න අමරුන ඇයි උට්ටි උබට අමාරු
පාංශු ඛාදනය ගැනවත් කියහං විද්‍යාත්මක ආගමක විද්‍යාත්මක පහදා දිමක්,0,B,පාංශු ඛාදනය ගැන කියහං විද්‍යාත් ආගමක විද්‍යාත් පහදා දිමක්
පාංශු පිලිබද සම්මානිත මහාචාර්ය අබ්දුල් ‍රාසික්,0,B,පාංශු පිලිබ සම්මානිත මහාචාර් අබ්දුල ‍රාසි
පාස්කු ප්‍රහාරය සාර්ථක කරගන්න කොලඹ උද්ඝෝෂණය කරල නැගෙනහිර සහරාන්ට අවධානය යොමු නොව්මට ඉතා සුක්ෂම විදියට ආරක්ෂක අංශ නොමග යවපු පරයෙක් තමා මු,1,B,පාස් ප්‍රහාර සාර්ථක කරග කොලඹ උද්ඝෝෂණ කරල නැගෙනහිර සහරා අවධාන යොමු නොව් ඉතා සුක්ෂ විදි ආරක්ෂක අංශ නොමග යවපු පර තමා මු
"පාස්කු ප්‍රහාරයට කිසි දෙයක් කරගන්න බැරි වෙච්ච ඔයා .......,ගිය ආණ්ඩු කාලය මේක වුණා නම් මිනිස්සු මැරිලා",1,B,පාස් ප්‍රහාර කිසි දෙයක් කරග බැරි වෙච්ච ඔයා ගිය ආණ්ඩු කාලය මේක වුණා නම් මිනිස්ස මැර
පාස්කු සිදුවිමට සමිබන්ද යැයි පැවසු මොහු තවත්...... (අවදානය පිණිසයි.),1,B,පාස් සිදුවි සමිබන් යැයි පැවසු මොහු තවත් අවදාන පිණිස
පැකින් තාම අලුත් ඇති,0,B,පැ තාම අලුත් ඇති
පැය 5කට පස්සේ මිනිය තෝ බදාගෙන හිටපිය.තෝත් එක්කම පුච්චන්න,1,B,පැය කට පස්සේ මිනිය තෝ බදාගෙ හිට තෝත් එක්කම පුච්ච
පැය4 ඵලියේ තියලා මිනිය ගේදර අරන් පලයන්,1,B,පැය ඵලියේ තියලා මිනිය ගේදර අරන් පලයන්
පැයකට කියද. නයිට් එකකට කියද,1,B,පැයකට කියද නයිට් එකකට කියද
පැල ගලවයි හැබැයි 1 ගැලවුවොත් 100 හිටවනවා බ්‍රොරෝ,0,B,පැල ගලවයි හැබැ ගැලව හිටව බ්‍රොර
පැල සිටවන එකනමි උතුමි කියාවක් හදවතින් සුභ පතනව තිස්ස කාරය තමයි අවුල් මිනිසුන් නොමග යවපු ගුරා,0,B,පැල සිටවන එකනමි උතුමි කියා හදවත සුභ පතනව තිස්ස කාරය තමයි අවුල් මිනිස නොමග යවපු ගුරා
පැල හිටවන්න මාත් එන්නම්.. අපි කොළඹ හරිය හැබැයි හුස්ම අපි හැමෝටම.. තැනයි වෙලාවයි දාපන් වැඩේ සෙට් කරල..,0,B,පැල හිටව මාත් එන්න අපි කොළඹ හරිය හැබැ හුස්ම අපි හැමෝ තැනයි වෙලා දාපන් වැඩේ සෙට් කරල
පැල හිටෝල විතරක් මදි රැට්ටෝ ඕවට වතුර දාන්න වැඩපිලිවෙලකුත් ඕන.. කලින් ලක්ශ ගානක් හිටෝපු පැල මේ වෙද්දි 5% ක් වත් නෑ බ්‍රෝ... ✍️,0,B,පැල හිටෝල විතර මදි රැට්ට ඕවට වතුර දාන්න වැඩපිලිවෙලකු ඕන කලින් ලක්ශ ගානක් හිටෝ පැල මේ වෙද්දි ක් වත් නෑ බ්‍රෝ ️
පැල හිටෝලා හරි කමක් නෑ MCC පව් ටික ගෙවන්න,0,B,පැල හිටෝ හරි කමක් නෑ පව් ටික ගෙව
පිට කොටුවේ බෝගහ යට හිටපු බඩුවක් වගේ,1,B,පිට කොට බෝගහ යට හිටපු බඩු වගේ
"පිට රැටියනට ගැති නොවන ජාතියක් මේ සමගම ඇති කරමු.අපේ අවශ්‍යතාවන් අපිම සපුරා ගමු. ගරු ඔබයි අපේ අන්තිම අපේක්ෂාව. ශ්‍රි ලංකාද්වීපය නැවතත් ""හෙලයන්ගේ"" දේශයක් බවට පත් කරමු.",0,B,පිට රැටියන ගැති නොවන ජාති මේ සමගම ඇති කරමු අපේ අවශ්‍යතා අපිම සපුරා ගමු ගරු ඔබයි අපේ අන්ති අපේක්ෂා ශ්‍රි ලංකාද්වීප නැව හෙල දේශ බවට පත් කරමු
පින තිබ්බනං ගිහින් වලං හොදල දෙපයින් නැගිටින්න ඕනවෙන්නෙ. නෑ 25 කෑල්ලක් උනාට මොලේ 5ක එකෙක්ගෙ තරම්වත් නෑ,1,B,පින තිබ්බනං ගිහ වලං හොදල දෙපය නැගිටි ඕනවෙ නෑ කෑල්ල උනාට මොලේ ක එකෙක් තරම් නෑ
"පින සිංගල්,කරුමෙ ඩබල්...",0,B,පින සිංගල කරුමෙ ඩබල්
පිනක් කරලා තිනෝ කියන්නේ ,0,B,පිනක් කරලා තිනෝ කිය
පිය පුතු,0,B,පිය පුතු
පිය පුතු,0,B,පිය පුතු
පිය පුතු දෙපල ,0,B,පිය පුතු දෙපල
පිය පුතු පෙම️,0,B,පිය පුතු පෙම️
පිය පුතු බැඳීම ️,0,B,පිය පුතු බැඳීම ️
පිය පුතු සංවාදයක් ,0,B,පිය පුතු සංවාද
පිය පුතු සෙනෙහස,0,B,පිය පුතු සෙනෙහස
පිය පුතු හමුවක්.,0,B,පිය පුතු හමු
පිය පුතු හමුවූ ඒ සොදුරු මොහොත..,0,B,පිය පුතු හමුවූ ඒ සොදුර මොහොත
පිය සෙනෙහස,0,B,පිය සෙනෙහස
පිය සෙනෙහසට කවි ගී ලිය වුනා මදී ,0,B,පිය සෙනෙහස කවි ගී ලිය වුනා මදී
පියපුතු සෙනෙහස ,0,B,පියපුත සෙනෙහස
පියා ,0,B,පියා
පියා හා පුතා අතර සංවාදයක් ,0,B,පියා හා පුතා අතර සංවාද
පියාණෝ,0,B,පියාණ
පියානෝ සහ පුතානෝ!,0,B,පියාන සහ පුතාන
පියෙකු මෙන් පුතෙකු මෙන්,0,B,පි මෙන් පුත මෙන්
පිරිමියෙකුගේ ශක්තිය ගැහැණියයි.,0,B,පිරිමි ශක්ත ගැහැණි
පිරිමියෙකුට ශක්තිය ගැහැනියක් ඔබ දෙපලට ජේසු පිහිටයි,0,B,පිරිමි ශක්ත ගැහැ ඔබ දෙපලට ජේසු පිහිට
